course_code,title,dept_code,credits,pre_reqs,core_area,inquiry_area,recommendation
ARTS 240,Art and Theory 1960-1990 (AH),ARTS,3,False,False,Human Thought and Expression,False
ARTS 242,Digital Photography (SA),ARTS,3,ARTS 100 or FSEM 160 or ARTS 241,False,Human Thought and Expression,False
BIOL 318,Vertebrate Physiology,BIOL,3,(BIOL 181 or BIOL 211) and (BIOL 182 or BIOL 212),False,Natural Sciences & Mathematics,False
ARTS 246,From Emperors to Anime: Pictorial Practices in China and Japan (AH),ARTS,3,False,False,Human Thought and Expression,Previous coursework in art history or Asian studies is helpful
BIOL 318L,Vertebrate Physiology Lab,BIOL,1,False,False,Natural Sciences & Mathematics,False
ARTS 249,Art/Architect-Ancient Americas,ARTS,3,False,False,Human Thought and Expression,False
ANTH 249,Art/Architect-Ancient Americas,SOAN,3,False,False,"Social Relations,Inst.& Agents",False
BIOL 320,Biostatistics,BIOL,3,(BIOL 181 or BIOL 211) or (BIOL 182 or BIOL 212),False,Natural Sciences & Mathematics,The course should count as one of the two courses required in mathematics for students interested in the health science professions or graduate school in the sciences.
ARTS 251,Printmaking (SA),ARTS,3,ARTS 100 or FSEM 160,False,Human Thought and Expression,False
HIST 327,Dictator/Democr in Caribbean,HIST,3,False,False,"Social Relations,Inst.& Agents",False
ARTS 255,"Museum Exhibitions: Design, Rhetoric, and Interpretation",ARTS,3,False,False,Human Thought and Expression,False
BIOL 320L,Biostatistics Lab,BIOL,1,False,False,Natural Sciences & Mathematics,False
BIOL 337,Cancer Biology,BIOL,3,BIOL 201 or BIOL 202 or BIOL 203 or BIOL 204 or BIOL 205 or BIOL 206,False,Natural Sciences & Mathematics,False
ARTS 264,Sculpture: Material & Process (SA),ARTS,3,ARTS 100 or FSEM 160 or ARTS 263,False,Human Thought and Expression,False
BIOL 351,Topics in Advanced Cellular Physiology: Diseases of Nervous System,BIOL,3,BIOL 201 or BIOL 202 or BIOL 203 or BIOL 204 or BIOL 205 or BIOL 206,False,Natural Sciences & Mathematics,False
ARTS 275,American Campus Architecture: Hudson,ARTS,3,False,False,Human Thought and Expression,False
BIOL 355,Advanced Topics in Organismal Biology,BIOL,3,BIOL 201 or BIOL 202 or BIOL 203 or BIOL 204 or BIOL 205 or BIOL 206,False,Natural Sciences & Mathematics,False
BIOL 359,Ecosystem Ecology,BIOL,3,BIOL 201 or BIOL 202 or BIOL 203 or BIOL 204 or BIOL 205 or BIOL 206,False,Natural Sciences & Mathematics,False
BIOL 359L,Ecosystem Ecology Lab,BIOL,1,False,False,Natural Sciences & Mathematics,False
ARTS 287,History & Theory of Cinema,ARTS,3,False,False,Human Thought and Expression,False
BIOL 361,Biochemistry of Gene Expression,BIOL,3,BIOL 201 or BIOL 202 or BIOL 203 or BIOL 204 or BIOL 205 or BIOL 206 Biochemistry majors require only BIOL 182 and should contact the instructor before registration.,False,Natural Sciences & Mathematics,False
BIOL 474,Global Health Epidemiology,BIOL,3,False,False,Natural Sciences & Mathematics,False
BIOL 475,Molecular Analysis of Development,BIOL,3,False,False,Natural Sciences & Mathematics,False
BIOL 480,Cell Cycle Regulation,BIOL,3,False,False,Natural Sciences & Mathematics,False
BIOL 484,Cell Responses-Viral Infect,BIOL,3,False,False,Natural Sciences & Mathematics,False
ARTS 287L,Required Film Screening,ARTS,0,False,False,Human Thought and Expression,False
BIOL 485,Experimental Animal Behavior,BIOL,3,False,False,Natural Sciences & Mathematics,False
BIOL 486,Eukaryotic Molec Genetics,BIOL,3,False,False,Natural Sciences & Mathematics,False
ARTS 312,Advanced Drawing (SA),ARTS,3,ARTS 211,False,Human Thought and Expression,False
CORE 177S,Critical Analysis of Health: Cancer,False,3,False,Scientific Perspectives,False,False
ARTS 340,Contemporary Native Amer Art,ARTS,3,False,False,Human Thought and Expression,False
ARTS 355,Photography & Political Conf,ARTS,3,False,False,Human Thought and Expression,False
ANTH 340,Contemporary Native Amer Art,SOAN,3,False,False,"Social Relations,Inst.& Agents",False
ARTS 375,Advanced Projects in Studio Art (SA),ARTS,3,Two Studio Arts courses,False,Human Thought and Expression,Studio Arts Emphasis majors must take before the fall of their senior year.
ARTS 381,Seminar in Art History: Pre-1300:Pre-Modern Fashion and a Sustainable Future,ARTS,3,False,False,Human Thought and Expression,False
CORE 151,Legacies of the Ancient World,False,3,False,Legacies of Ancient World,False,False
COSC 101,Introduction for Computing I,COSC,3,False,False,Natural Sciences & Mathematics,Recommended for students in all disciplines who desire a rigorous introduction to computers and programming.
CORE 152,Challenges of Modernity,False,3,False,Challenges of Modernity,False,False
CHEM 102,General Chemistry II,CHEM,3,CHEM 101 with a grade of C- or higher.,False,Natural Sciences & Mathematics,False
CORE 193C,Brazil,False,3,False,Communities & Identities,False,False
CLAS 222,The Tragic and Comic Muse,CLAS,3,False,False,Human Thought and Expression,False
CHEM 102L,General Chemistry II Lab,CHEM,1,False,False,Natural Sciences & Mathematics,False
CLAS 250,Ancient Roman City,CLAS,3,False,False,Human Thought and Expression,False
GREK 121,Elementary Classical Greek I,CLAS,3,False,False,Human Thought and Expression,False
GREK 201,Intermediate Greek: Prose,CLAS,3,GREK 122 or equivalent,False,Human Thought and Expression,False
COSC 101L,Introduction for Computing I Lab,COSC,1,False,False,Natural Sciences & Mathematics,False
GREK 310,Homer,CLAS,3,GREK 201 or higher,False,Human Thought and Expression,False
LATN 122,Elementary Latin II,CLAS,3,LATN 121 or FSEM 153,Global Engagements,Human Thought and Expression,False
LATN 123,Intensive Elementary Latin,CLAS,3,False,False,Human Thought and Expression,False
LATN 202,Intermediate Latin:Poetry,CLAS,3,LATN 122 or LATN 123 or LATN 201 or equivalent,False,Human Thought and Expression,False
LATN 440,Vergil's Eclogues & Georgics,CLAS,3,LATN 201 or LATN 321 or LATN 340 or LATN 350 or LATN 360 or LATN 370 or LATN 380 or higher,False,Human Thought and Expression,False
COSC 102,Introduction for Computing II,COSC,3,COSC 101 or equivalent programming experience.,False,Natural Sciences & Mathematics,False
ECON 105,Principles of Accounting,ECON,3,False,False,False,False
COSC 102L,Introduction for Computing II Lab,COSC,1,False,False,Natural Sciences & Mathematics,False
ECON 151,Introduction to Economics,ECON,3,False,False,"Social Relations,Inst.& Agents",False
CHEM 212,Inorganic Chemistry,CHEM,3,CHEM 111 or CHEM 102 (102 may be taken concurrently),False,Natural Sciences & Mathematics,False
CHEM 212L,Inorganic Chemistry Lab,CHEM,1,False,False,Natural Sciences & Mathematics,False
COSC 201,Computer Organization,COSC,3,COSC 102 (may be taken concurrently),False,Natural Sciences & Mathematics,False
COSC 201L,Computer Organization Lab,COSC,1,False,False,Natural Sciences & Mathematics,False
CHEM 214,Inorganic Chemistry,CHEM,3,CHEM 102 or CHEM 111,False,Natural Sciences & Mathematics,False
COSC 290,Discrete Structures,COSC,3,COSC 102,False,Natural Sciences & Mathematics,False
ECON 228,Environmental Economics,ECON,3,ECON 151,False,"Social Relations,Inst.& Agents",False
COSC 290L,Discrete Structures Lab,COSC,1,False,False,Natural Sciences & Mathematics,False
CHEM 264,Organic Chemistry II,CHEM,3,CHEM 263 with a grade of C- or higher.,False,Natural Sciences & Mathematics,False
ECON 233,Economics of Immigration,ECON,3,ECON 151,Global Engagements,"Social Relations,Inst.& Agents",False
COSC 301,Operating Systems,COSC,3,COSC 102 and COSC 201 (COSC 201 may be taken concurrently),False,Natural Sciences & Mathematics,False
COSC 301L,Operating Systems Lab,COSC,1,False,False,Natural Sciences & Mathematics,False
COSC 302,Analysis of Algorithms,COSC,3,COSC 290,False,Natural Sciences & Mathematics,Previous completion of COSC 290 is strongly recommended.
ECON 234,Gender in the Economy,ECON,3,ECON 151 or FSEM 180 or FSEM 181,False,"Social Relations,Inst.& Agents",False
COSC 302L,Analysis of Algorithms Lab,COSC,1,False,False,Natural Sciences & Mathematics,False
ECON 249,International Economics,ECON,3,ECON 151 or FSEM 180 or FSEM 181 with a grade of C or better.,Global Engagements,"Social Relations,Inst.& Agents",False
CHEM 264L,Organic Chemistry II Lab,CHEM,1,False,False,Natural Sciences & Mathematics,False
COSC 435,Computer Graphics,COSC,3,COSC 301,False,Natural Sciences & Mathematics,False
COSC 435L,Computer Graphics Lab,COSC,1,False,False,Natural Sciences & Mathematics,False
COSC 480,Topics in Computer Science: Natural Language Processing,COSC,3,COSC 202,False,Natural Sciences & Mathematics,False
ECON 251,Intermediate Microeconomics,ECON,3,ECON 151,False,"Social Relations,Inst.& Agents",MATH 161 or equivalent
COSC 480L,Topics in Computer Science: User Interfaces Lab,COSC,1,False,False,Natural Sciences & Mathematics,False
CORE 139S,Election Methods/Voting Tech,False,3,False,Scientific Perspectives,False,False
ECON 252,Intermediate Macroeconomics,ECON,3,ECON 151,False,"Social Relations,Inst.& Agents",MATH 161 or its equivalent
ECON 345,Games and Strategies,ECON,3,ECON 251 and (MATH 105 or MATH 316 or CORE 143S or FSEM 144) and (MATH 161 or MATH 162 or MATH 163) or high school calculus.,False,"Social Relations,Inst.& Agents",False
CHEM 334,Physical Chemistry II,CHEM,3,False,False,Natural Sciences & Mathematics,False
ECON 348,Health Economics,ECON,3,ECON 251,False,"Social Relations,Inst.& Agents",False
ECON 352,Money and Banking,ECON,3,ECON 251 and ECON 252,False,"Social Relations,Inst.& Agents",False
ECON 356,Growth and Distribution,ECON,3,ECON 251 and ECON 252,Global Engagements,"Social Relations,Inst.& Agents",False
ECON 369,History of Economic Thought,ECON,3,ECON 251 and ECON 252,False,"Social Relations,Inst.& Agents",False
ECON 375,Applied Econometrics,ECON,3,ECON 251 and ECON 252 and (CORE 143S or MATH 105 or MATH 316 or FSEM 144) and (MATH 161 or MATH 162 or MATH 163),False,"Social Relations,Inst.& Agents",False
CHEM 336,Physical Chemistry for the Life Sciences,CHEM,3,CHEM 264 and (PHYS 112 or PHYS 121 or PHYS 232) and (MATH 112 or MATH 162),False,Natural Sciences & Mathematics,False
CHEM 353,Proteins and Nucleic Acids,CHEM,3,CHEM 264,False,Natural Sciences & Mathematics,False
ECON 375L,Applied Econometrics Lab,ECON,0,False,False,"Social Relations,Inst.& Agents",False
CHEM 382,Molecular Spectroscopy,CHEM,1,CHEM 333 or CHEM 336,False,False,False
CHEM 384,Molecular Dynamics,CHEM,1,CHEM 334 or CHEM 336 (may be taken concurrently),False,False,False
ECON 381,Labor Economics,ECON,3,ECON 251 and ECON 252 and ECON 375 (ECON 375 may be taken concurrently),False,"Social Relations,Inst.& Agents",False
EDUC 101,The American School,EDUC,3,False,False,"Social Relations,Inst.& Agents",False
EDUC 202,The Teaching of Reading,EDUC,3,EDUC 101 or FSEM 182,False,"Social Relations,Inst.& Agents",False
EDUC 207,Inclusive and Special Education,EDUC,3,EDUC 101 or FSEM 182,False,"Social Relations,Inst.& Agents",False
CHEM 385,Biophysical Chemistry Methods,CHEM,1,CHEM 264,False,False,False
EDUC 226,Uses and Abuses of Educational Research,EDUC,3,EDUC 101 or FSEM 182,False,"Social Relations,Inst.& Agents",False
ECON 414,Sem: Industrial Organization,ECON,3,ECON 251 and ECON 252 and ECON 314 and ECON 375,False,"Social Relations,Inst.& Agents",False
EDUC 241,Queering Education,EDUC,3,EDUC 101 or FSEM 182 or LGBT 220 or RELG 253 or SOCI 220,False,"Social Relations,Inst.& Agents",False
CHEM 431,Molecular Modeling and Simulation,CHEM,2,CHEM 333 or CHEM 336,False,False,False
ECON 421,Seminar in Economics of Education,ECON,3,ECON 251 and ECON 252 and ECON 375,False,"Social Relations,Inst.& Agents",False
LGBT 241,Queering Education,EDUC,3,EDUC 101 or FSEM 182 or RELG 253 or SOCI 220 or LGBT 220,False,"Social Relations,Inst.& Agents",False
CHEM 454,Bioenergetics,CHEM,2,CHEM 264,False,False,False
EDUC 308,Global Anthropologies of Education,EDUC,3,EDUC 101 or FSEM 182,Global Engagements,"Social Relations,Inst.& Agents",False
EDUC 309,Philosophies of Education,EDUC,3,EDUC 101 or FSEM 182,False,"Social Relations,Inst.& Agents",False
ECON 450,Seminar in International Economics,ECON,3,ECON 251 and ECON 252 and ECON 375 and (ECON 249 or ECON 349 or ECON 351),False,"Social Relations,Inst.& Agents",False
CHEM 464,Organic Synthesis,CHEM,2,CHEM 264,False,False,False
EDUC 317,Democracy and Education,EDUC,3,EDUC 101,False,"Social Relations,Inst.& Agents",False
CHEM 468,Medicinal Chemistry,CHEM,2,CHEM 264,False,False,False
EDUC 440,Special Topics in Educational Studies: Black and Latinx Educational Histories,EDUC,3,EDUC 101 or FSEM 182,False,"Social Relations,Inst.& Agents",False
CORE 191C,Spain,False,3,False,Communities & Identities,False,False
ECON 468,Seminar in American Economic History,ECON,3,ECON 251 and ECON 252 and ECON 375 and ECON 368,False,"Social Relations,Inst.& Agents",False
CORE 105S,Nanotechnology,False,3,False,Scientific Perspectives,False,False
ECON 474,Sem: Mathematical Economics,ECON,3,ECON 251 and ECON 252 and ECON 375 and (ECON 378 or ECON 374),False,"Social Relations,Inst.& Agents",False
FMST 200,Introduction to Film and Media Studies,ARTS,3,False,False,Human Thought and Expression,False
ECON 483,Seminar in Resource and Environmental Economics,ECON,3,ECON 251 and ECON 252 and ECON 375 and (ECON 228 or ECON 328 or ECON 383),False,"Social Relations,Inst.& Agents",False
FMST 200L,Required Film Screening,ARTS,0,False,False,Human Thought and Expression,False
ECON 484,Seminar in Applied Macroeconomics,ECON,3,ECON 251 and ECON 252 and ECON 375,False,"Social Relations,Inst.& Agents",False
FMST 212,Global Media: Flows & Counterflows - Borders,ARTS,3,FMST 200 or FSEM 149 or FSEM 163,Global Engagements,False,False
ECON 487,Seminar in Financial Economics,ECON,3,ECON 251 and ECON 252 and ECON 375 and (ECON 332 or ECON 387),False,"Social Relations,Inst.& Agents",False
CORE 162S,Foodwise,False,3,False,Scientific Perspectives,False,False
FMST 340,"Music, Film, & Media",ARTS,3,FMST 200 or FSEM 149,False,Human Thought and Expression,False
FMST 340L,Required Film Screening,ARTS,0,False,False,False,False
ECON 490,Honors Seminar: Special Problems in Economics,ECON,3,ECON 489,False,"Social Relations,Inst.& Agents",False
FMST 400,Tps:African Cinema& Filmmaking,ARTS,3,and one additional course in the FMST minor,False,False,False
FMST 400L,Required Film Screening,ARTS,0,False,False,False,False
CHIN 122,Elementary Chinese II,EALL,3,CHIN 121,Global Engagements,Human Thought and Expression,False
ENST 344,America's Public Lands,ENST,3,At least two courses related to environmental studies,False,False,False
GERM 122,Beginning German II,GERM,3,GERM 121 or equivalent,False,Human Thought and Expression,False
SOSC 275,Volunteer Income Tax Assist,False,1,False,False,False,False
CHIN 202,Intermediate Chinese II,EALL,3,CHIN 201,Global Engagements,Human Thought and Expression,False
CHIN 222,China through Literature and Film,EALL,3,False,Global Engagements,Human Thought and Expression,False
ENST 202,Environmental Ethics,ENST,3,False,False,Human Thought and Expression,False
PHIL 202,Environmental Ethics,PHIL,3,False,False,Human Thought and Expression,False
CHIN 304,Readings in Social Issues,EALL,3,CHIN 202 or equivalent experience,False,Human Thought and Expression,False
GERM 352,Intro to German Literature II,GERM,3,GERM 202 or equivalent,False,Human Thought and Expression,False
ENST 232,Environmental Justice,ENST,3,False,False,"Social Relations,Inst.& Agents",False
CHIN 406,Readings in Modern Literature,EALL,3,CHIN 303 or CHIN 304 or equivalent experience,False,Human Thought and Expression,False
ENST 240,Sustainability: Science and Analysis,ENST,3,False,False,Natural Sciences & Mathematics,False
JAPN 122,Elementary Japanese II,EALL,3,JAPN 121,False,Human Thought and Expression,False
GERM 461,Goethe,GERM,3,Two GERM 300-level courses,False,Human Thought and Expression,False
JAPN 202,Intermediate Japanese II,EALL,3,JAPN 201,Global Engagements,Human Thought and Expression,False
ENST 324,"Hunting, Eating, Vegetarianism",ENST,3,False,Global Engagements,Human Thought and Expression,False
LGBT 350,"Sexuality, Gender, and the Law",EDUC,3,False,False,"Social Relations,Inst.& Agents",False
LGBT 355,Queer Outlaws in Lit. and Film,EDUC,3,False,Global Engagements,Human Thought and Expression,False
JAPN 302,Advanced Japanese II,EALL,3,JAPN 301,False,Human Thought and Expression,False
ENST 390,Community-based Study of Environmental Issues,ENST,3,False,False,False,ENST 202 and ENST 232 are strongly recommended.
JAPN 455,Advanced Grammar in Japanese,EALL,3,JAPN 302 or equivalent experience,False,Human Thought and Expression,False
MUSI 103,Basic Music and Songwriting (TH),MUSI,3,False,False,Human Thought and Expression,Students who have taken private lessons or have high school music performance experience should take MUSI 203
CORE 178S,Water,False,3,False,Scientific Perspectives,False,False
POSC 335,U.S. Environmental Politics,POSC,3,False,False,"Social Relations,Inst.& Agents",False
MUSI 151,The Musical Experience (H&A),MUSI,3,False,False,Human Thought and Expression,False
MUSI 161,The History of Jazz (H&A),MUSI,3,False,False,Human Thought and Expression,False
GEOL 101,Environmental Geology,EEGS,3,False,False,Natural Sciences & Mathematics,False
MUSI 203,Harmony I (TH),MUSI,3,Music background required,False,Human Thought and Expression,Students considering a major or minor in music should take this course as soon as possible.
GEOL 101L,Environmental Geology Lab,EEGS,1,False,False,Natural Sciences & Mathematics,False
MUSI 204,Harmony II (TH),MUSI,3,MUSI 203,False,Human Thought and Expression,False
GEOL 105,Megageology,EEGS,3,False,False,Natural Sciences & Mathematics,False
MUSI 216,Music History II: Classic through Modern Periods (H&A),MUSI,3,Performance experience required,Global Engagements,Human Thought and Expression,False
GEOL 190,Evolution of Planet Earth,EEGS,3,False,False,Natural Sciences & Mathematics,For students interested in concentrating in geology or environmental geology.
CORE 167C,Japan,False,3,False,Communities & Identities,False,False
MUSI 217,Chamber Music I (PF),MUSI,3,False,False,Human Thought and Expression,False
GEOL 190L,Evolution of Planet Earth Lab,EEGS,1,False,False,Natural Sciences & Mathematics,False
MUSI 317,Chamber Music II (PF),MUSI,3,False,False,Human Thought and Expression,False
GEOL 201,Mineralogy and Geochemistry,EEGS,3,One GEOL course,False,Natural Sciences & Mathematics,False
ENGL 200,Major British Writers,ENGL,3,False,False,Human Thought and Expression,False
MUSI 220,Digital Music Studio (TH),MUSI,3,False,False,Human Thought and Expression,False
MUSI 221,World Music (H&A),MUSI,3,False,Global Engagements,Human Thought and Expression,False
MUSI 230,University Orchestra I (PF),MUSI,3,False,False,Human Thought and Expression,False
ENGL 201,American Texts and Contexts,ENGL,3,False,False,Human Thought and Expression,False
GEOL 201L,Mineralogy and Geochemistry Lab,EEGS,1,False,False,Natural Sciences & Mathematics,False
MUSI 330,University Orchestra II (PF),MUSI,3,False,False,Human Thought and Expression,False
GEOL 235,Tectonics and Earth Structure,EEGS,3,One GEOL course,False,Natural Sciences & Mathematics,False
ENGL 202,Justice/Power-Postcolonial Lit,ENGL,3,False,False,Human Thought and Expression,False
GEOL 235L,Tectonics and Earth Structure Lab,EEGS,1,False,False,False,False
MUSI 232,Hudson Concert Jazz Ensemble I (PF),MUSI,3,False,False,Human Thought and Expression,False
GEOL 260,Volcanology,EEGS,3,False,False,Natural Sciences & Mathematics,False
MUSI 332,Jazz Performance II,MUSI,3,False,False,Human Thought and Expression,False
MUSI 234,University Chorus I (PF),MUSI,3,False,False,Human Thought and Expression,False
MUSI 334,University Chorus II (PF),MUSI,3,False,False,Human Thought and Expression,False
GEOL 260L,Volcanology Lab,EEGS,1,False,False,Natural Sciences & Mathematics,False
MUSI 236,Private Instruction I (PF),MUSI,3,Student must have studied at Hudson with their studio instructor for at least two semesters before applying to take lessons for credit. Proposal required.,False,Human Thought and Expression,False
MUSI 336,Private Instruction II (PF),MUSI,3,Student must have studied at Hudson with their studio instructor for at least two semesters before applying to take lessons for credit. Proposal required.,False,Human Thought and Expression,False
ENGL 207,New Immigrant Voices,ENGL,3,False,False,Human Thought and Expression,False
MUSI 245,Composition (TH),MUSI,3,MUSI 103 or MUSI 203,False,Human Thought and Expression,False
GEOL 420,Solid Earth Processes,EEGS,3,At least two GEOL courses 200-level or above,False,Natural Sciences & Mathematics,False
GEOL 441,Senior Research Seminar,EEGS,3,False,False,Natural Sciences & Mathematics,False
ENGL 217,Introductory Workshop in Creative Writing: Poetry,ENGL,3,False,False,Human Thought and Expression,False
CORE 198C,Cuba,False,3,False,Communities & Identities,False,False
CORE 123S,Climate Change and Human History,False,3,False,Scientific Perspectives,False,False
ASTR 102,"Stars, Galaxies & the Universe",PHAS,3,False,False,Natural Sciences & Mathematics,False
ASTR 220,Deciphering the Sky,PHAS,3,False,False,Natural Sciences & Mathematics,False
ASTR 414,Astrophysics,PHAS,3,PHYS 334,False,Natural Sciences & Mathematics,False
PHYS 112,Fundamental Physics II,PHAS,3,PHYS 111 with a grade of C- or higher.,False,Natural Sciences & Mathematics,False
PHYS 112L,Fundamental Physics II Lab,PHAS,1,False,False,Natural Sciences & Mathematics,False
PHYS 232,Introduction to Mechanics,PHAS,3,PHYS 131 and (MATH 161 or MATH 162 or MATH 163) both with a grade of C- or higher.,False,Natural Sciences & Mathematics,"Required for students planning to major in physics, astronomy-physics, or physical science, and for students interested in pre-engineering. It is also recommended for chemistry majors. Students who plan to take physics courses beyond PHYS 232 should co-register in MATH 163 (formerly MATH 113) and PHYS 201."
ENGL 307,The American Novel,ENGL,3,False,False,Human Thought and Expression,False
PHYS 232RE,Intro Mechanics Recitation,PHAS,0,False,False,False,False
JWST 181,The Many Faces of Israel,PSCI,3,False,False,Human Thought and Expression,False
PHYS 232L,Introduction to Mechanics Lab,PHAS,1,False,False,Natural Sciences & Mathematics,False
RELG 283,Introduction to Judaism,RELG,3,False,False,Human Thought and Expression,False
PHYS 201,Mathematical Methods for Physics,PHAS,1,False,False,False,False
ENGL 315,The Romantic Poets & Essayists,ENGL,3,False,False,Human Thought and Expression,False
JWST 283,Introduction to Judaism,PSCI,3,False,False,Human Thought and Expression,False
PHYS 201L,Mathematical Methods for Physics Lab,PHAS,0,False,False,False,False
ENGL 316,Banned Books,ENGL,3,False,False,Human Thought and Expression,False
REST 354,"Terror, Dissent, 20th-C Lit",SOAN,3,False,Global Engagements,Human Thought and Expression,False
ENGL 322,Shakespeare,ENGL,3,False,False,Human Thought and Expression,False
PHYS 334,Introduction to Quantum Mechanics and Special Relativity,PHAS,3,PHYS 233 and PHYS 205 both with a grade of C- or higher.,False,Natural Sciences & Mathematics,False
ENGL 334,African American Literature,ENGL,3,False,False,Human Thought and Expression,False
PHYS 336,Electronics,PHAS,3,PHYS 233 both with a grade of C- or higher.,False,Natural Sciences & Mathematics,False
PHYS 336L,Electronics Lab,PHAS,1,False,False,Natural Sciences & Mathematics,False
ENGL 340,"Critical Theory: Language, Semiotics, and Form",ENGL,3,False,False,Human Thought and Expression,False
PHYS 432,Electromagnetism,PHAS,3,PHYS 205 and PHYS 233 with a grade of C- or higher.,False,Natural Sciences & Mathematics,False
JWST 354,"Terror, Dissent, 20th-C Lit",PSCI,3,False,Global Engagements,Human Thought and Expression,False
ENGL 345,Victorian Fiction,ENGL,3,False,False,Human Thought and Expression,False
PHYS 434,Quantum Mechanics,PHAS,3,PHYS 334 with a grade of C- or higher.,False,Natural Sciences & Mathematics,False
RELG 339,Modern Jewish Philosophy,RELG,3,False,False,Human Thought and Expression,Previous courses in the Jewish tradition and/or philosophy are recommended.
PHYS 434L,Quantum Mechanics Lab,PHAS,1,False,False,Natural Sciences & Mathematics,False
ENGL 361,Chaucer's Canterbury Tales,ENGL,3,False,False,Human Thought and Expression,False
JWST 339,Modern Jewish Philosophy,PSCI,3,False,False,Human Thought and Expression,False
ENGL 363,Ctmp Fic:Women Writing Family,ENGL,3,False,False,Human Thought and Expression,False
HEBR 122,Elementary Hebrew II,MELL,3,HEBR 121,False,Human Thought and Expression,False
HEBR 202,Intermediate Hebrew II,MELL,3,HEBR 201 or equivalent,False,Human Thought and Expression,False
ENGL 368,After Genocide:Memory/Repres,ENGL,3,False,False,Human Thought and Expression,False
PHYS 448,Nonlinear Dynamics & Chaos,PHAS,3,MATH 308 or PHYS 334 with a grade of C- or higher,False,Natural Sciences & Mathematics,Students should enroll through the department for which they intend to use the credit
MIST 122,Elementary Arabic II,HIST,3,MIST 121,False,Human Thought and Expression,False
MATH 448,Nonlinear Dynamics & Chaos,MATH,3,MATH 308 or PHYS 334,False,Natural Sciences & Mathematics,Students should enroll through the department for which they intend to use the credit.
CORE 180S,The Science of Music,False,3,False,Scientific Perspectives,False,False
PCON 368,After Genocide:Memory/Repres,PSCI,3,False,False,Human Thought and Expression,False
CORE 106S,"Saving the Appearances: Galileo, the Church, and the Scientific Endeavor",False,3,False,Scientific Perspectives,False,False
MIST 202,Intermediate Arabic II,HIST,3,MIST 201 or equivalent,False,Human Thought and Expression,False
MIST 220,"Media, Power & Protest",HIST,3,False,Global Engagements,"Social Relations,Inst.& Agents",False
RELG 101,The World's Religions,RELG,3,False,False,Human Thought and Expression,False
ENGL 377,Fiction Writing Workshop,ENGL,3,Instructor approval on the basis of writing samples,False,Human Thought and Expression,False
